layers,seq,batch,mem_gb,step_ms,tok_per_s
6,512,16,2.23,50.9,160964
6,512,32,3.83,90.3,181421
6,512,64,7.06,166.5,196761
6,512,128,13.53,316.8,206901
6,512,256,26.46,622.4,210575
6,1024,16,3.84,96.4,169885
6,1024,32,7.07,178.5,183559
6,1024,64,13.53,339.9,192808
6,1024,128,26.46,666.6,196625
6,1024,256,,,
6,2048,16,7.08,200.2,163685
6,2048,32,13.54,384.8,170314
6,2048,64,26.47,758.8,172728
6,2048,128,,,
12,512,16,4.27,99.3,82499
12,512,32,7.36,175.2,93537
12,512,64,13.55,323.5,101301
12,512,128,25.93,616.3,106343
12,512,256,,,
12,1024,16,7.37,186.2,87989
12,1024,32,13.55,346.3,94614
12,1024,64,25.94,660.0,99301
12,1024,128,,,
12,2048,16,13.56,389.4,84150
12,2048,32,25.95,747.3,87693
12,2048,64,,,
